
Beginning forward sweep...

--------------------------------------------------
|   Iteration   |   k-eff error  |   flux error    |
|      121      |   1.4926e-06   |   1.1646e-04    |
|      122      |   1.4323e-06   |   1.1200e-04    |
|      123      |   1.3746e-06   |   1.0771e-04    |
|      124      |   1.3193e-06   |   1.0358e-04    |
|      125      |   1.2663e-06   |   9.9611e-05    |
|      126      |   1.2156e-06   |   9.5794e-05    |
|      127      |   1.1670e-06   |   9.2124e-05    |
|      128      |   1.1204e-06   |   8.8594e-05    |
|      129      |   1.0757e-06   |   8.5200e-05    |
|      130      |   1.0329e-06   |   8.1936e-05    |
|      131      |   9.9188e-07   |   7.8798e-05    |
|      132      |   9.5253e-07   |   7.5779e-05    |
|      133      |   9.1479e-07   |   7.2877e-05    |
|      134      |   8.7860e-07   |   7.0086e-05    |
|      135      |   8.4388e-07   |   6.7401e-05    |
|      136      |   8.1058e-07   |   6.4820e-05    |
|      137      |   7.7864e-07   |   6.2338e-05    |
|      138      |   7.4798e-07   |   5.9950e-05    |
|      139      |   7.1857e-07   |   5.7655e-05    |
|      140      |   6.9035e-07   |   5.5447e-05    |
|      141      |   6.6326e-07   |   5.3324e-05    |
|      142      |   6.3726e-07   |   5.1282e-05    |
|      143      |   6.1230e-07   |   4.9318e-05    |
|      144      |   5.8835e-07   |   4.7430e-05    |
|      145      |   5.6535e-07   |   4.5614e-05    |
|      146      |   5.4327e-07   |   4.3868e-05    |
|      147      |   5.2207e-07   |   4.2188e-05    |
|      148      |   5.0171e-07   |   4.0573e-05    |
|      149      |   4.8216e-07   |   3.9020e-05    |
|      150      |   4.6339e-07   |   3.7526e-05    |
|      151      |   4.4536e-07   |   3.6089e-05    |
|      152      |   4.2805e-07   |   3.4708e-05    |
|      153      |   4.1142e-07   |   3.3379e-05    |
|      154      |   3.9544e-07   |   3.2101e-05    |
|      155      |   3.8009e-07   |   3.0873e-05    |
|      156      |   3.6535e-07   |   2.9691e-05    |
|      157      |   3.5119e-07   |   2.8554e-05    |
|      158      |   3.3758e-07   |   2.7461e-05    |
|      159      |   3.2451e-07   |   2.6410e-05    |
|      160      |   3.1195e-07   |   2.5399e-05    |
|      161      |   2.9988e-07   |   2.4427e-05    |
|      162      |   2.8828e-07   |   2.3492e-05    |
|      163      |   2.7714e-07   |   2.2593e-05    |
|      164      |   2.6643e-07   |   2.1728e-05    |
|      165      |   2.5614e-07   |   2.0896e-05    |
|      166      |   2.4625e-07   |   2.0097e-05    |
|      167      |   2.3675e-07   |   1.9327e-05    |
|      168      |   2.2762e-07   |   1.8588e-05    |
|      169      |   2.1884e-07   |   1.7876e-05    |
|      170      |   2.1040e-07   |   1.7192e-05    |
|      171      |   2.0229e-07   |   1.6534e-05    |
|      172      |   1.9450e-07   |   1.5901e-05    |
|      173      |   1.8701e-07   |   1.5293e-05    |
|      174      |   1.7980e-07   |   1.4707e-05    |
|      175      |   1.7288e-07   |   1.4145e-05    |
|      176      |   1.6623e-07   |   1.3603e-05    |
|      177      |   1.5983e-07   |   1.3083e-05    |
|      178      |   1.5368e-07   |   1.2582e-05    |
|      179      |   1.4777e-07   |   1.2100e-05    |
|      180      |   1.4209e-07   |   1.1637e-05    |
|      181      |   1.3663e-07   |   1.1192e-05    |
|      182      |   1.3137e-07   |   1.0764e-05    |
|      183      |   1.2632e-07   |   1.0352e-05    |
|      184      |   1.2147e-07   |   9.9555e-06    |
|      185      |   1.1680e-07   |   9.5745e-06    |
|      186      |   1.1232e-07   |   9.2081e-06    |
|      187      |   1.0800e-07   |   8.8557e-06    |
|      188      |   1.0386e-07   |   8.5168e-06    |
|      189      |   9.9868e-08   |   8.1909e-06    |
|      190      |   9.6034e-08   |   7.8774e-06    |
|      191      |   9.2348e-08   |   7.5759e-06    |
|      192      |   8.8804e-08   |   7.2860e-06    |
|      193      |   8.5396e-08   |   7.0072e-06    |
|      194      |   8.2119e-08   |   6.7390e-06    |
|      195      |   7.8969e-08   |   6.4811e-06    |
